COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,SI,1,17
LIMA,INGENIERÍA DE MINAS,FEMENINO,NO,3,19
CAJAMARCA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA QUÍMICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,3,19
LIMA,MATEMÁTICA,MASCULINO,NO,1,17
CALLAO,INGENIERÍA QUÍMICA,FEMENINO,NO,3,19
ÁNCASH,INGENIERÍA AMBIENTAL,FEMENINO,NO,1,17
HUÁNUCO,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,1,17
APURÍMAC,ARQUITECTURA,MASCULINO,NO,3,19
CALLAO,INGENIERÍA CIVIL,FEMENINO,NO,3,19
ICA,INGENIERÍA DE MINAS,MASCULINO,NO,1,18
LIMA,FÍSICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA QUÍMICA,MASCULINO,NO,4,21
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,FEMENINO,NO,4,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,2,18
HUÁNUCO,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,18
CALLAO,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
CALLAO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LA LIBERTAD,INGENIERÍA CIVIL,MASCULINO,NO,1,18
TACNA,MATEMÁTICA,FEMENINO,NO,3,20
JUNIN,ARQUITECTURA,FEMENINO,NO,3,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
LIMA,ARQUITECTURA,MASCULINO,SI,4,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,18
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,SI,1,18
APURIMAC,INGENIERÍA DE SOFTWARE,MASCULINO,NO,5,22
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE PETRÓLEO Y GAS NATURAL,MASCULINO,NO,1,17
LIMA,INGENIERÍA SANITARIA,FEMENINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
JUNIN,MATEMÁTICA,MASCULINO,NO,4,20
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,5,21
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,2,18
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
LIMA,ARQUITECTURA,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA ESTADÍSTICA,FEMENINO,NO,7,23
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
CALLAO,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,19
LIMA,ARQUITECTURA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
JUNIN,INGENIERÍA MECATRÓNICA,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,2,18
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,5,20
